FORM,WEAPON,ELEMENT,ANIMAL,SPECIAL BODY PART,COLORS,OCCUPATION,LOCATION ,NATURE,MISC,POS PERSONALITY,NUE PERSONALITY,NEG PERSONALITY,TROPE
,,,,,,MECHANICAL ENGINEERING TECHNICIAN - MECHANICAL AND MANUFACTURING ENGINEERING (INCLUDING FABRICATION AND WELDING),LIGHTHOUSE,,,,,,
,,,,,,MEDICAL PATHOLOGIST - MEDICINE AND SURGERY,LINCOLN MEMORIAL,,,,,,
,,,,,,MEDICAL PHYSICIST - MEDICAL TECHNOLOGY,LITTLE BIGHORN BATTLEFIELD NATIONAL MONUMENT,,,,,,
,,,,,,MEDICAL REPRESENTATIVE - RETAIL AND SALES - MEDICAL TECHNOLOGY,LIVING ROOM,,,,,,
,,,,,,MEDICAL SECRETARY - ADMINISTRATION AND MANAGEMENT GENERAL,LOCH NESS,,,,,,
,,,,,,MEMBER OF PARLIAMENT - PUBLIC SERVICES ADMINISTRATION - POLITICS,"LOCK, LOCKS (WATERWAY)",,,,,,
,,,,,,MERCHANT NAVY DECK OFFICER - SEA TRANSPORT,"LODGE (+ HUNTING, MASONS, MEDICINE, PORTERS, SAFARI, SECRET SOCIETY*, SWEAT, WARDENS)",,,,,,
,,,,,,MERCHANT NAVY ENGINEERING OFFICER - SEA TRANSPORT,"LOMBARD STREET, SAN FRANCISCO",,,,,,
,,,,,,MERCHANT NAVY RATING - SEA TRANSPORT,LONDON EYE,,,,,,
,,,,,,METEOROLOGIST - EARTH STUDIES,LOST CITY,,,,,,
,,,,,,METER READER - PROPERTY SERVICES,LOUVRE MUSEUM,,,,,,
,,,,,,MICROBIOLOGIST - BIOLOGY,LUMBERYARD,,,,,,
,,,,,,MIDWIFE - NURSING AND AUXILIARY WORK,LYCEUM - HALL FOR PUBLIC LECTURES,,,,,,
,,,,,,MINING ENGINEER - ENGINEERING GENERAL,"MACHINERY (FROM BYGONE AGE OR CIVILIZATION / SIZE – CART, BUILDING, TOWN)",,,,,,
,,,,,,MODEL MAKER - 3 DIMENSIONAL DESIGN,MACHU PICCHU,,,,,,
,,,,,,MONK,MADISON SQUARE GARDEN,,,,,,
,,,,,,MONK,MADRID PALACE,,,,,,
,,,,,,MORTICIAN,MAGIC KINGDOM,,,,,,
,,,,,,MOTOR VEHICLE TECHNICIAN - VEHICLE MAINTENANCE AND REPAIR,"MAGICAL CONSTRUCT (ENERGY CONSTRUCT, GIANT LEVITATING CRYSTAL, MOVING SCULPTURE, RUNE STONES, SIGIL STONES)",,,,,,
,,,,,,MOTORCYCLE INSTRUCTOR - ROAD TRANSPORT,MALL,,,,,,
,,,,,,MOTORCYCLE TECHNICIAN - VEHICLE MAINTENANCE AND REPAIR,MALL OF AMERICA,,,,,,
,,,,,,MUDLOGGER - OFFSHORE AND ENERGY,MAMMOTH CAVE NATIONAL PARK,,,,,,
,,,,,,MUSEUM ASSISTANT OR VISITOR CENTRE ASSISTANT - CULTURE AND HERITAGE,"MANNEKEN PIS, BRUSSELS",,,,,,
,,,,,,MUSEUM CONSERVATION OFFICER - CULTURE AND HERITAGE,MANOR,,,,,,
,,,,,,MUSEUM OR ART GALLERY CURATOR - CULTURE AND HERITAGE,MARINA,,,,,,
,,,,,,MUSIC PROMOTIONS MANAGER - ARTS ADMINISTRATION,MARK TWAIN HOUSE & MUSEUM,,,,,,
,,,,,,MUSIC THERAPIST - THERAPISTS,MARKER,,,,,,
,,,,,,MUSICAL INSTRUMENT TECHNOLOGIST - MUSIC TECHNOLOGY,"MARKER STONE (BORDER STONE, BOUNDARY STONE)",,,,,,
,,,,,,MUSICIAN,MARKET,,,,,,
,,,,,,MUSICIAN - CLASSICAL - MUSIC,"MARKET, MARKET PLACE, MARKET SQUARE",,,,,,
,,,,,,MUSICIAN - POPULAR - MUSIC,MARTHA'S VINEYARD,,,,,,
,,,,,,NAIL TECHNICIAN - BEAUTY,MASSAGE PACTICE,,,,,,
,,,,,,NANNY - CHILDCARE AND EDUCATION,MASSAGE PARLOR,,,,,,
,,,,,,NANOTECHNOLOGIST - CHEMISTRY AND MATERIALS SCIENCE - PHYSICS,MATTERHORN,,,,,,
,,,,,,NATURE CONSERVATIONIST - ENVIRONMENTAL AND RURAL RESOURCE MANAGEMENT,MAUSOLEUM,,,,,,
,,,,,,NATUROPATH - ALTERNATIVE MEDICINE,MAYAN PYRAMIDS OF CHICHEN ITZA,,,,,,
,,,,,,NAVAL ARCHITECT - NAVAL ARCHITECTURE AND MARINE ENGINEERING,MEAD HALL,,,,,,
,,,,,,NECROMANCER,MEADOW,,,,,,
,,,,,,NETWORK ARCHITECT - SYSTEMS AND NETWORKS,MEAT PACKING PLANT,,,,,,
,,,,,,NETWORK ENGINEER - SYSTEMS AND NETWORKS,MECCA,,,,,,
,,,,,,NEUROPHYSIOLOGIST - MEDICAL TECHNOLOGY,MEETING HOUSE,,,,,,
,,,,,,NINJA,MEMORIAL,,,,,,
,,,,,,NOBLE,MERCEDES-BENZ SUPERDOME,,,,,,
,,,,,,NONE,MESA VERDE NATIONAL PARK,,,,,,
,,,,,,NUCLEAR ENGINEER - OFFSHORE AND ENERGY,MESSENGER PIGEON LOFT,,,,,,
,,,,,,NUN,METEOR CRATER,,,,,,
,,,,,,NUN,METROPOLITAN MUSEUM OF ART,,,,,,
,,,,,,NURSE,MEWS (ROW OR COURTYARD OF STABLES AND CARRIAGE HOUSES WITH LIVING QUARTERS ABOVE THEM),,,,,,
,,,,,,NURSE - ADULT - NURSING AND AUXILIARY WORK,MEXICO,,,,,,
,,,,,,NURSE - CHILD - NURSING AND AUXILIARY WORK,MIAMI BEACH,,,,,,
,,,,,,NURSE - DISTRICT - NURSING AND AUXILIARY WORK,"MIDDEN (+ HEAP, MOUND, PILE)",,,,,,
,,,,,,NURSE - GENERAL PRACTICE - NURSING AND AUXILIARY WORK,MILL,,,,,,
,,,,,,NURSE - LEARNING DISABILITIES - NURSING AND AUXILIARY WORK,"MILLAU BRIDGE, FRANCE",,,,,,
,,,,,,NURSE - MENTAL HEALTH - NURSING AND AUXILIARY WORK,MILLENNIUM PARK,,,,,,
,,,,,,NURSING SUPPORT WORKER - NURSING AND AUXILIARY WORK,MINARET,,,,,,
,,,,,,OCCUPATIONAL THERAPIST - OCCUPATIONAL THERAPY,"MINE, MINES (COAL, CRYSTAL [NORMAL, MAGIC], GEM STONE [NORMAL, MAGIC], GUANO, METAL [NORMAL, MAGIC], MINERAL [NORMAL, MAGIC], SALT, SUBSTANCE)",,,,,,
,,,,,,OCCUPATIONAL THERAPY SUPPORT WORKER - OCCUPATIONAL THERAPY,MISSION (PLACE FOR MISSIONARY WORK),,,,,,
,,,,,,OCEANOGRAPHER - EARTH STUDIES,MISSISSIPPI RIVER,,,,,,
,,,,,,OFFICE MANAGER - ADMINISTRATION AND MANAGEMENT GENERAL,MOAI,,,,,,
,,,,,,OFFSHORE MEDIC - NURSING AND AUXILIARY WORK,"MOAT (+ DRY, LAVA, MUD, QUICKSAND, SPIKED, TAR, WATER)",,,,,,
,,,,,,OFFSHORE SERVICE TECHNICIAN - OFFSHORE AND ENERGY,MOJAVE DESERT,,,,,,
,,,,,,OPERATING DEPARTMENT PRACTITIONER - MEDICAL TECHNOLOGY,MONASTERY,,,,,,
,,,,,,OPERATIONAL RESEARCHER - MATHEMATICS AND STATISTICS,MONO LAKE,,,,,,
,,,,,,OPTICAL ASSISTANT - RETAIL AND SALES,MONOLITH,,,,,,
,,,,,,OPTICAL TECHNICIAN - MANUFACTURING GENERAL,"MONT ST. MICHEL, FRANCE",,,,,,
,,,,,,OPTOMETRIST - OPHTHALMICS AND ORTHOPTICS,"MONTEZUMA CASTLE NATIONAL MONUMENT, ARIZONA",,,,,,
,,,,,,ORACLE,MONTICELLO,,,,,,
,,,,,,ORTHODONTIST - DENTISTRY,MONTPELLIER,,,,,,
,,,,,,ORTHOPTIST - OPHTHALMICS AND ORTHOPTICS,MONUMENT,,,,,,
,,,,,,OSTEOPATH - ALTERNATIVE MEDICINE,MONUMENT VALLEY,,,,,,
,,,,,,OUTDOOR ACTIVITIES INSTRUCTOR OR LEADER - SPORT AND FITNESS,MOODY GARDENS,,,,,,
,,,,,,PACKER - DISTRIBUTION,MOSQUE,,,,,,
,,,,,,PAINTER AND DECORATOR - CONSTRUCTION CRAFTS,MOTORCYCLE,,,,,,
,,,,,,PARALEGAL - LEGAL SUPPORT SERVICES,MOULIN ROUGE,,,,,,
,,,,,,PARAMEDIC - AMBULANCE SERVICES,"MOUND (+ BURIAL, CEREMONIAL, MIDDEN, SHELL, TEMPLE)",,,,,,
,,,,,,PARKING ATTENDANT OR TRAFFIC WARDEN - POLICE AND SECURITY WORK,MOUNT ETNA,,,,,,
,,,,,,PARLIAMENTARY ASSISTANT - PUBLIC SERVICES ADMINISTRATION - POLITICS,MOUNT EVEREST,,,,,,
,,,,,,PATENT ATTORNEY - PATENT WORK,MOUNT FUJI,,,,,,
,,,,,,PATENT EXAMINER - PATENT WORK,MOUNT MCKINLEY (DENALI),,,,,,
,,,,,,PATTERN CUTTER OR GRADER - CLOTHING AND TEXTILES,MOUNT RUSHMORE,,,,,,
,,,,,,PERSONAL OR EXECUTIVE ASSISTANT - ADMINISTRATION AND MANAGEMENT GENERAL,MOUNT ST. HELENS NATIONAL VOLCANIC MONUMENT,,,,,,
,,,,,,PERSONAL TRAINER - SPORT AND FITNESS,"MOUNT WASHINGTON, NEW HAMPSHIRE",,,,,,
,,,,,,PEST CONTROL TECHNICIAN - ENVIRONMENTAL SERVICES - GENERAL SERVICES,MOVIE THEATER,,,,,,
,,,,,,PET SHOP ASSISTANT - RETAIL AND SALES,MUNICH,,,,,,
,,,,,,PETROLEUM OR RESERVOIR ENGINEER - OFFSHORE AND ENERGY,MUSEUM,,,,,,
,,,,,,PHARMACIST - PHARMACY,MUSIC HALL,,,,,,
,,,,,,PHARMACOLOGIST - BIOLOGY,MUSIC ROOM,,,,,,
,,,,,,PHARMACY ASSISTANT - PHARMACY,MUSIC STORE,,,,,,
,,,,,,PHARMACY TECHNICIAN - PHARMACY,MYRTLE BEACH,,,,,,
,,,,,,PHLEBOTOMIST - NURSING AND AUXILIARY WORK,NAIL SALON,,,,,,
,,,,,,PHOTOGRAPHER - PHOTOGRAPHY,NAPA VALLEY,,,,,,
,,,,,,PHOTOGRAPHIC STYLIST - PHOTOGRAPHY,NATIONAL COWBOY AND WESTERN HERITAGE MUSEUM,,,,,,
,,,,,,PHOTOGRAPHIC TECHNICIAN - PHOTOGRAPHY,NATIONAL MALL,,,,,,
,,,,,,PHYSICIST - PHYSICS,NATIONAL ZOOLOGICAL PARK,,,,,,
,,,,,,PHYSIOTHERAPIST - PHYSIOTHERAPY,NATURAL HISTORY MUSEUM,,,,,,
,,,,,,PHYSIOTHERAPY SUPPORT WORKER - PHYSIOTHERAPY,NAVY PIER,,,,,,
,,,,,,PIANO TUNER - MUSIC TECHNOLOGY,NETHERLANDS,,,,,,
,,,,,,PICTURE FRAMER - 3 DIMENSIONAL DESIGN,NEW YORK,,,,,,
,,,,,,"PICTURE RESEARCHER - ADVERTISING, MARKETING AND PR",NEWGRANGE,,,,,,
,,,,,,PIRATE,"NEWPORT MANSIONS, RI",,,,,,
,,,,,,PLANT FITTER - ENGINEERING GENERAL,NIAGARA FALLS,,,,,,
,,,,,,PLANT OPERATOR - CONSTRUCTION CRAFTS,NO MAN'S LAND,,,,,,
,,,,,,PLASTERER - CONSTRUCTION CRAFTS,NONE,,,,,,
,,,,,,PLAY THERAPIST - THERAPISTS,NORTH CASCADES NATIONAL PARK,,,,,,
,,,,,,PLAYWORKER OR PLAY LEADER - CHILDCARE AND EDUCATION,NOTRE DAME,,,,,,
,,,,,,PLUMBER - CONSTRUCTION CRAFTS,"NUNNERY, CONVENT",,,,,,
,,,,,,PODIATRIST - PODIATRY,NURSERY,,,,,,
,,,,,,PODIATRY ASSISTANT PRACTITIONER - PODIATRY,OAK ALLEY PLANTATION,,,,,,
,,,,,,POLICE OFFICER - POLICE AND SECURITY WORK,OASIS,,,,,,
,,,,,,PORT OPERATIVE - SEA TRANSPORT,OBELISK,,,,,,
,,,,,,POST OFFICE CUSTOMER SERVICE CONSULTANT - PUBLIC SERVICES ADMINISTRATION,OBSERVATION TOWER,,,,,,
,,,,,,POSTMAN OR POSTWOMAN - DISTRIBUTION,OBSERVATORY,,,,,,
,,,,,,PRE-PRESS OPERATOR - PRINTING,OCEAN FLOOR,,,,,,
,,,,,,PRIEST,OFFICE,,,,,,
,,,,,,PRIESTESS,OIL RIG,,,,,,
,,,,,,PRINT FINISHER OR BOOKBINDER - PRINTING,OLD FAITHFUL GEYSER,,,,,,
,,,,,,PRINT MANAGER - PRINTING,OLYMPIC NATIONAL PARK,,,,,,
,,,,,,PRISON OFFICER - PRISON WORK,ON THE BRIDGE,,,,,,
,,,,,,PRIVATE TUTOR - TEACHING - OTHER,OPEN AIR MARKET,,,,,,
,,,,,,PROCURATOR FISCAL - LAW (PROFESSIONAL),OPERA HALL / OPERA HOUSE,,,,,,
,,,,,,PROCUREMENT ADMINISTRATOR - BUYING,OPIUM DEN,,,,,,
,,,,,,PROCUREMENT MANAGER - BUYING,OPTOMETRIST,,,,,,
,,,,,,PRODUCER – RADIO - MEDIA AND BROADCASTING,ORCHARD,,,,,,
,,,,,,PRODUCER – TV OR FILM - MEDIA AND BROADCASTING,ORCHESTRA PIT,,,,,,
,,,,,,PRODUCT DESIGNER - ENGINEERING GENERAL - 3 DIMENSIONAL DESIGN,ORPHANAGE,,,,,,
,,,,,,PRODUCTION ASSISTANT - MEDIA AND BROADCASTING,ORTHODONTIST,,,,,,
,,,,,,PRODUCTION CONTROLLER OR MANAGER - MANUFACTURING GENERAL,OUTFITTERS,,,,,,
,,,,,,PRODUCTION WORKER - MANUFACTURING GENERAL,OUTLET STORE,,,,,,
,,,,,,PROJECT MANAGER - ADMINISTRATION AND MANAGEMENT GENERAL,OUTPOST,,,,,,
,,,,,,PROP MAKER - DRAMA AND THEATRE TECHNOLOGY - MEDIA AND BROADCASTING,OXFORD UNIVERSITY,,,,,,
,,,,,,PROPHET,PADDOCK,,,,,,
,,,,,,PROSTHETIC OR ORTHOTIC TECHNICIAN - MEDICAL TECHNOLOGY,PALACE,,,,,,
,,,,,,PROSTHETIST OR ORTHOTIST - MEDICAL TECHNOLOGY,PALISADE,,,,,,
,,,,,,PROSTITUTE,"PARADE GROUNDS, TRAINING GROUNDS",,,,,,
,,,,,,PSYCHOLOGIST - CLINICAL - PSYCHOLOGY AND COUNSELLING,PARIS,,,,,,
,,,,,,PSYCHOLOGIST - COUNSELLING - PSYCHOLOGY AND COUNSELLING,PARK,,,,,,
,,,,,,PSYCHOLOGIST - EDUCATIONAL - PSYCHOLOGY AND COUNSELLING,PARKING GARAGE,,,,,,
,,,,,,PSYCHOLOGIST - FORENSIC - PSYCHOLOGY AND COUNSELLING,"PARLOR, PARLOUR (DRUG, MASSAGE, TATTOO)",,,,,,
,,,,,,PSYCHOLOGIST - HEALTH - PSYCHOLOGY AND COUNSELLING,PAWNSHOP,,,,,,
,,,,,,PSYCHOLOGIST - OCCUPATIONAL - PSYCHOLOGY AND COUNSELLING,"PEN, PENS (+ ANIMAL, MONSTER, SLAVE)",,,,,,
,,,,,,PSYCHOLOGIST - PSYCHOLOGY AND COUNSELLING,PENTAGON,,,,,,
,,,,,,PSYCHOLOGIST - SPORT AND EXERCISE - PSYCHOLOGY AND COUNSELLING,PET STORE,,,,,,
,,,,,,PSYCHOTHERAPIST - PSYCHOLOGY AND COUNSELLING,PETRA,,,,,,
,,,,,,"PUBLIC RELATIONS OFFICER - ADVERTISING, MARKETING AND PR",PETRONAS TWIN TOWERS,,,,,,
,,,,,,QUALITY CONTROL TECHNICIAN - MANUFACTURING GENERAL,PHARMACY,,,,,,
,,,,,,RADIO BROADCAST ASSISTANT - MEDIA AND BROADCASTING,"PIAZZA DEL CAMPO, SIENA",,,,,,
,,,,,,RADIOGRAPHER - DIAGNOSTIC - RADIOGRAPHY,PICCADILLY CIRCUS,,,,,,
,,,,,,RADIOGRAPHER - THERAPEUTIC - RADIOGRAPHY,PIER,,,,,,
,,,,,,RADIOGRAPHY SUPPORT WORKER - RADIOGRAPHY,PIKE PLACE MARKET,,,,,,
,,,,,,RAILWAY MAINTENANCE ENGINEERING TECHNICIAN - DISTRIBUTION AND PLANT - RAIL TRANSPORT - ELECTRICAL AND ELECTRONIC ENGINEERING,"PILLAR, PILLARS",,,,,,
,,,,,,RAILWAY MAINTENANCE ENGINEERING TECHNICIAN - OVERHEAD LINE - RAIL TRANSPORT - MECHANICAL AND MANUFACTURING ENGINEERING (INCLUDING FABRICATION AND WELDING),PIRATE SHIP,,,,,,
,,,,,,RAILWAY MAINTENANCE ENGINEERING TECHNICIAN - SIGNALLING - RAIL TRANSPORT - ELECTRICAL AND ELECTRONIC ENGINEERING,"PIT (+ DWELLING, FIGHTING, MONSTER, PRISON, SLAVE)",,,,,,
,,,,,,RAILWAY MAINTENANCE ENGINEERING TECHNICIAN - TELECOMS - RAIL TRANSPORT - ELECTRICAL AND ELECTRONIC ENGINEERING,PIZZA PLACE,,,,,,
,,,,,,RAILWAY MAINTENANCE ENGINEERING TECHNICIAN - TRACK - RAIL TRANSPORT - MECHANICAL AND MANUFACTURING ENGINEERING (INCLUDING FABRICATION AND WELDING),PLANTATION,,,,,,
,,,,,,RAILWAY STATION ASSISTANT - RAIL TRANSPORT,PLAYGROUND,,,,,,
,,,,,,RAMP AGENT - AIR TRANSPORT,PLAZZA,,,,,,
,,,,,,RECEPTIONIST - ADMINISTRATION AND MANAGEMENT GENERAL,PLYMOUTH ROCK,,,,,,
,,,,,,RECRUITMENT CONSULTANT - ADMINISTRATION AND MANAGEMENT GENERAL,POLICE STATION,,,,,,
,,,,,,RECYCLING OFFICER - ENVIRONMENTAL SERVICES,POMPEII,,,,,,
,,,,,,RECYCLING OPERATIVE - GENERAL SERVICES,PORT,,,,,,
,,,,,,REFLEXOLOGIST - WELLBEING,PORTAL,,,,,,
,,,,,,REFRIGERATION ENGINEER - ENGINEERING GENERAL,POST OFFICE,,,,,,
,,,,,,REFUSE COLLECTOR - GENERAL SERVICES,PRAGUE CASTLE,,,,,,
,,,,,,"REGISTRAR OF BIRTHS, DEATHS, MARRIAGES AND CIVIL PARTNERSHIPS - PUBLIC SERVICES ADMINISTRATION",PRISON,,,,,,
,,,,,,REHABILITATION ENGINEERING TECHNICIAN - MEDICAL TECHNOLOGY,PUB,,,,,,
,,,,,,REMOVALS OPERATIVE - DISTRIBUTION,PUBLIC GARDEN,,,,,,
,,,,,,RENEWABLE ENERGY CONSULTANT - ENVIRONMENTAL SERVICES,PUBLIC RADIO STATION,,,,,,
,,,,,,RENEWABLE ENERGY ENGINEER - OFFSHORE AND ENERGY,PUBLIC SQUARE,,,,,,
,,,,,,REPORTER TO THE CHILDREN'S PANEL - SOCIAL WORK OR SOCIAL CARE,PUEBLO,,,,,,
,,,,,,REPROGRAPHIC ASSISTANT - PRINTING,PYRAMID,,,,,,
,,,,,,RESEARCHER – BROADCASTING - MEDIA AND BROADCASTING,PYRAMIDS OF GIZA,,,,,,
,,,,,,RESORT REPRESENTATIVE - TRAVEL AND TOURISM,PYRE (+ FUNERAL),,,,,,
,,,,,,RESPIRATORY PHYSIOLOGIST - MEDICAL TECHNOLOGY,"QUARRY (CRYSTAL, MAGIC CRYSTAL, METAL, MINERAL, STONE, SUBSTANCE)",,,,,,
,,,,,,RESTAURANT MANAGER - HOSPITALITY,QUICK SAND PIT,,,,,,
,,,,,,RETAIL ASSISTANT - RETAIL AND SALES,QUILT STORE,,,,,,
,,,,,,RETAIL BUYER - BUYING,RAIN FORREST,,,,,,
,,,,,,RETAIL MANAGER - RETAIL AND SALES,RAINBOW BRIDGE NATIONAL MONUMENT,,,,,,
,,,,,,REVENUE AND CUSTOMS OFFICER - PUBLIC SERVICES ADMINISTRATION,RAINFOREST,,,,,,
,,,,,,RIDING INSTRUCTOR - WORK WITH ANIMALS,"RANCH (ANIMAL, MONSTER)",,,,,,
,,,,,,RISK MANAGER - ADMINISTRATION AND MANAGEMENT GENERAL,REAL ESTATE AGENCY,,,,,,
,,,,,,ROAD WORKER - CONSTRUCTION CRAFTS,RECORDING STUDIO,,,,,,
,,,,,,ROADIE - MUSIC TECHNOLOGY,RED ROCKS AMPHITHEATRE,,,,,,
,,,,,,ROOF SHEETER AND CLADDER - CONSTRUCTION CRAFTS,REDOUBT (TEMPORARY FORTIFICATION),,,,,,
,,,,,,ROOFER - CONSTRUCTION CRAFTS,REDWOOD NATIONAL PARK,,,,,,
,,,,,,ROOFER – FELT - CONSTRUCTION CRAFTS,"REFLECTING POOL, REFLECTION POOL",,,,,,
,,,,,,ROOM ATTENDANT - HOSPITALITY,REPAIR SHOP,,,,,,
,,,,,,ROUSTABOUT - OFFSHORE AND ENERGY,RESTAURANT,,,,,,
,,,,,,ROV PILOT TECHNICIAN - OFFSHORE AND ENERGY,RETAILER,,,,,,
,,,,,,ROYAL AIR FORCE AIRMAN OR AIRWOMAN - ARMED SERVICES,RIALTO BRIDGE,,,,,,
,,,,,,ROYAL AIR FORCE OFFICER - ARMED SERVICES,RIO GRANDE NATIONAL FOREST,,,,,,
,,,,,,ROYAL MARINE - ARMED SERVICES,"ROAD, ROADS (COBBLESTONE, DIRT, PAVED / + ABANDONED, CROSS, MAIN, RURAL)",,,,,,
,,,,,,ROYAL MARINES OFFICER - ARMED SERVICES,ROCK AND ROLL HALL OF FAME,,,,,,
,,,,,,ROYAL NAVY OFFICER - ARMED SERVICES,ROCK OF GIBRALTAR,,,,,,
,,,,,,ROYAL NAVY RATING - ARMED SERVICES,ROCKEFELLER CENTER,,,,,,
,,,,,,RUNNER - MEDIA AND BROADCASTING,"ROCKY MOUNTAIN NATIONAL PARK, COLORADO",,,,,,
,,,,,,SALES REPRESENTATIVE - RETAIL AND SALES,RODEO DRIVE,,,,,,
,,,,,,SCAFFOLDER - CONSTRUCTION CRAFTS,ROLLER RINK,,,,,,
,,,,,,SCENIC ARTIST - DRAMA AND THEATRE TECHNOLOGY - FINE ART OR GRAPHIC DESIGN,ROOT CELLAR,,,,,,
,,,,,,SCHOOL JANITOR - FACILITIES MANAGEMENT,ROUTE,,,,,,
,,,,,,SCIENTIFIC OR TECHNICAL ILLUSTRATOR - FINE ART OR GRAPHIC DESIGN,ROYAL GORGE BRIDGE,,,,,,
,,,,,,SCIENTIST,"RUIN, RUINS",,,,,,
,,,,,,SCOTTISH SPCA ANIMAL RESCUE OFFICER - WORK WITH ANIMALS,RUNE STONE,,,,,,
,,,,,,SCOTTISH SPCA INSPECTOR - WORK WITH ANIMALS,RUSSIA,,,,,,
,,,,,,SCULPTOR - 3 DIMENSIONAL DESIGN - FINE ART OR GRAPHIC DESIGN,SAGRADA FAMILIA,,,,,,
,,,,,,SEAMTRESS,"SALLY PORT (SECURE, CONTROLLED ENTRY WAY TO A FORTIFICATION OR PRISON)",,,,,,
,,,,,,SECURITY OFFICER OR GUARD - POLICE AND SECURITY WORK,SALON,,,,,,
,,,,,,SECURITY SYSTEMS INSTALLER - ELECTRICAL AND ELECTRONIC ENGINEERING,SALOON,,,,,,
,,,,,,"SEO SPECIALIST - ADVERTISING, MARKETING AND PR","SAN ANDREAS FAULT, CA",,,,,,
,,,,,,SERVANT,SAN ANTONIO RIVER WALK,,,,,,
,,,,,,SET DESIGNER - DRAMA AND THEATRE TECHNOLOGY - INTERIOR DESIGN OR DISPLAY,SANCTUARY,,,,,,
,,,,,,SEWING MACHINIST - CLOTHING AND TEXTILES,SANDWICH SHOP,,,,,,
,,,,,,SHAMAN,SANTORINI,,,,,,
,,,,,,SHEET METAL WORKER - MECHANICAL AND MANUFACTURING ENGINEERING (INCLUDING FABRICATION AND WELDING),SAUNA,,,,,,
,,,,,,SHEPHERD.,SAUSAGE STAND,,,,,,
,,,,,,SHERIFF OFFICER OR MESSENGER-AT-ARMS - LEGAL SUPPORT SERVICES,SAVANNAH,,,,,,
,,,,,,SHOE REPAIRER - PERSONAL SERVICES,SAWMILL,,,,,,
,,,,,,SHOPFITTER - CONSTRUCTION CRAFTS,SCAFFOLDING,,,,,,
,,,,,,SIGNALLER - RAIL TRANSPORT,SCHOOL,,,,,,
,,,,,,SIGNWRITER - FINE ART OR GRAPHIC DESIGN,"SCULPTURE (+ LARGE, GIANT, GARDEN, SCALE CITY MODEL)",,,,,,
,,,,,,SINGER - CLASSICAL - MUSIC,SEA GATE,,,,,,
,,,,,,SINGER - POPULAR - MUSIC,SEA WALL,,,,,,
,,,,,,SLAYER,SEA WORLD,,,,,,
,,,,,,SMART METER INSTALLER - ENGINEERING GENERAL,SEARS TOWER SKYDECK,,,,,,
,,,,,,SMUGGLER,SECOND HAND STORE,,,,,,
,,,,,,SOCIAL WORKER - SOCIAL WORK OR SOCIAL CARE,SEDONA,,,,,,
,,,,,,SOFTWARE ENGINEER OR DEVELOPER - PROGRAMMING AND DEVELOPMENT,SEQUOIA NATIONAL PARK,,,,,,
,,,,,,SOFTWARE TESTER - PROGRAMMING AND DEVELOPMENT,"SEWER, SEWERS",,,,,,
,,,,,,SOLDIER,SHACK,,,,,,
,,,,,,SOLICITOR - LAW (PROFESSIONAL),SHANGHAI WORLD FINACIAL CENTER,,,,,,
,,,,,,SOUL PIPER,SHANTY TOWN,,,,,,
,,,,,,SOUL REAPER,SHELTER,,,,,,
,,,,,,SOUND TECHNICIAN - MUSIC TECHNOLOGY - MEDIA AND BROADCASTING,SHIP GRAVEYARD,,,,,,
,,,,,,SPECIAL EFFECTS TECHNICIAN - MEDIA AND BROADCASTING,SHIPWRECK,,,,,,
,,,,,,SPEECH AND LANGUAGE THERAPIST - SPEECH THERAPY,"SHIPYARD, SHIPYARDS",,,,,,
,,,,,,SPEECH AND LANGUAGE THERAPY SUPPORT WORKER - SPEECH THERAPY,SHOE STORE,,,,,,
,,,,,,SPORT AND EXERCISE SCIENTIST - SPORTS SCIENCE,SHOOTING RANGE,,,,,,
,,,,,,SPORTS COACH OR INSTRUCTOR - SPORT AND FITNESS,SHOP,,,,,,
,,,,,,SPORTS DEVELOPMENT OFFICER - SPORT AND FITNESS,"SHRINE (DEITY, DRUIDIC, ELEMENT, POWER, ENVIRONMENT, GUARDIAN, LUCK, MAGIC, OLD ONE, OUTSIDER, SPIRIT, ETC)",,,,,,
,,,,,,SPORTS OR LEISURE CENTRE ASSISTANT - SPORT AND FITNESS,SIEGE TOWER,,,,,,
,,,,,,SPORTS OR LEISURE CENTRE MANAGER - SPORT AND FITNESS,SIGN,,,,,,
,,,,,,SPORTS PROFESSIONAL - SPORTS PERFORMANCE,SIGN POST,,,,,,
,,,,,,SPORTS THERAPIST - SPORTS SCIENCE,SISTINE CHAPEL,,,,,,
,,,,,,STABLEHAND OR GROOM - WORK WITH ANIMALS,"SITE (+ BUILDING, CAMP, CONSTRUCTION, DIG, EXCAVATION, GRAVE, RITUAL)",,,,,,
,,,,,,STAGE MANAGER - DRAMA AND THEATRE TECHNOLOGY - MEDIA AND BROADCASTING,SIX FLAGS,,,,,,
,,,,,,STAGEHAND - DRAMA AND THEATRE TECHNOLOGY - MEDIA AND BROADCASTING,SKYSCRAPER,,,,,,
,,,,,,STATISTICIAN - MATHEMATICS AND STATISTICS,SLAUGHTER HOUSE,,,,,,
,,,,,,STEEPLEJACK - CONSTRUCTION CRAFTS,SLUMS,,,,,,
,,,,,,STERILE SERVICES TECHNICIAN - MEDICAL TECHNOLOGY,SMITHSONIAN NATIONAL MUSEUM OF NATURAL HISTORY,,,,,,
